# Airline ICAO-to-telephony map, derived from OpenFlights airlines.dat.
# Source: https://openflights.org/data.html
# License: ODbL 1.0 (see LICENSE-OPENFLIGHTS.txt in this directory)
# Columns: icao<TAB>callsign<TAB>name<TAB>country
# Regenerate: python tools/refresh-airlines.py
AAA	ANSETT	Ansett Australia	Australia
AAB	ABG	Abelag Aviation	Belgium
AAC	ARMYAIR	Army Air Corps	United Kingdom
AAD	SUNRISE	Aero Aviation Centre Ltd.	Canada
AAF	AIGLE AZUR	Aigle Azur	France
AAG	ATLANTIC	Air Atlantique	United Kingdom
AAH	ALOHA	Aloha Airlines	United States
AAI	BOREALIS	Air Aurora	United States
AAJ	AIR ALMA	Air Alma	Canada
AAK	ALASKA ISLAND	Alaska Island Air	United States
AAL	AMERICAN	American Airlines	United States
AAM	AM CORP	Aviation Management Corporation	United States
AAN	AMSTEL	Amsterdam Airlines	Netherlands
AAO	ATLANTIS AIR	Atlantis Airlines (USA)	United States
AAP	AEROVISTA GROUP	Aerovista Airlines	United Arab Emirates
AAQ	COPTERLINE	Copterline	Finland
AAR	ASIANA	Asiana Airlines	Republic of Korea
AAS	AL-AAS	Askari Aviation	Pakistan
AAU	AUSTASIA	Australia Asia Airlines	Australia
AAV	ASTRO-PHIL	Astro Air International	United States
AAW	AFRIQIYAH	Afriqiyah Airways	Libya
AAX	AFREX	Afric'air Express	Ivory Coast
AAY	ALLEGIANT	Allegiant Air	United States
AAZ	ANGUS	Angus Aviation	Canada
ABA	ARTEM-AVIA	Artem-Avia	Ukraine
ABB	AFRICAN BUSINESS-	African Business and Transportations	Democratic Republic of the Congo
ABD	ATLANTA	Air Atlanta Icelandic	Iceland
ABE	ABAN	Aban Air	Iran
ABF	SKYWINGS	Aerial Oy	Finland
ABG	ABAKAN-AVIA	Abakan-Avia	Russia
ABJ	ABAET	Abaet	Brazil
ABK	ALBERTA CITYLINK	Alberta Citylink	Canada
ABL	AIR BUSAN	Air Busan	Republic of Korea
ABM	ALBATROS ESPANA	Aero Albatros	Spain
ABO	AEROEXPRESO	APSA Colombia	Colombia
ABP	BAIR	Aba Air	Czech Republic
ABQ	PAKBLUE	Airblue	Pakistan
ABR	CONTRACT	Air Contractors	Ireland
ABS	ATHABASKA	Transwest Air	Canada
ABT	AIR BROUSSE	Air Brousse	Canada
ABU	AEROBUENO	Aerovias Bueno	Colombia
ABV	ANTRAK	Antrak Air	Ghana
ABW	AIRBRIDGE CARGO	AirBridge Cargo	Russia
ABX	ABEX	Airborne Express	United States
ABY	ARABIA	Air Arabia	United Arab Emirates
ABZ	ATA-BRAZIL	ATA Brasil	Brazil
ACA	AIR CANADA	Air Canada	Canada
ACD	ACADEMY	Academy Airlines	United States
ACE	FASTCARGO	Race Cargo Airlines	Ghana
ACF	FORCAN	Centro de Formacion Aeronautica de Canarias	Spain
ACG	AIR PARTNER	Air Partner	United Kingdom
ACI	AIRCALIN	Air Caledonie International	France
ACK	ACK AIR	Nantucket Airlines	United States
ACL	ITALI	Itali Airlines	Italy
ACM	WEST CAL	Air Caledonia	Canada
ACN	AEROCENTRO	Central American Airlines	Nicaragua
ACO	AERO COMONDU	Aero Comondu	Mexico
ACP	ASTRAL CARGO	Astral Aviation	Kenya
ACQ	AERO CONTINENTE	Nuevo Continente	Peru
ACR	ESCUELA DE FORMACION DE PIOLTOS PRIVADOS DE AVION	Aerocenter	AEROCENTER
ACU	AFRISPIRIT	Air Cargo Transportation System	Kenya
ACW	AIR CADET	Royal Air Force	United Kingdom
ACX	PARAIR	Air Charters	Canada
ACY	ATLAS CARGOLINES	Atlas Cargo Lines	Morocco
ADA	AUSCAL	Airservices Australia	Australia
ADB	ANTONOV BUREAU	Antonov Airlines	Ukraine
ADC	ATLAN-DOMINICAN	Air Atlantic Dominicana	Dominican Republic
ADE	ADA AIR	Ada Air	Albania
ADG	AEREA TRAINING	Aerea Flying Training Organization	Spain
ADH	HERON	Air One	Italy
ADI	AUDELI	Audeli Air	Spain
ADJ	ABICAR	Abicar	Ivory Coast
ADK	ADCO	ADC Airlines	Nigeria
ADL	COTSWOLD	Aero Dynamics	United Kingdom
